uniprotAC;name;locus;groupID;strain
B4SZT2;nupC;SNSL254_A2601;1009;Salmonella_enterica_serovar_Newport_SL254
B4SZT9;nupG;SNSL254_A2614;884;Salmonella_enterica_serovar_Newport_SL254
B4SZU0;xapA;SNSL254_A2615;1707;Salmonella_enterica_serovar_Newport_SL254
B4SZU5;ligA;SNSL254_A2620;2114;Salmonella_enterica_serovar_Newport_SL254
B4SZV0;ptsH;SNSL254_A2625;561;Salmonella_enterica_serovar_Newport_SL254
B4SZV1;ptsI;SNSL254_A2626;1686;Salmonella_enterica_serovar_Newport_SL254
B4SZV2;crr;SNSL254_A2627;1728;Salmonella_enterica_serovar_Newport_SL254
B4SZV4;pdxK;SNSL254_A2629;435;Salmonella_enterica_serovar_Newport_SL254
B4SZV9;SNSL254_A4295;SNSL254_A4295;918;Salmonella_enterica_serovar_Newport_SL254
B4SZX4;SNSL254_A4310;SNSL254_A4310;1264;Salmonella_enterica_serovar_Newport_SL254
B4SZX9;fdoI;SNSL254_A4315;3772;Salmonella_enterica_serovar_Newport_SL254
B4SZY0;fdoH;SNSL254_A4316;3008;Salmonella_enterica_serovar_Newport_SL254
B4SZY9;fucO;SNSL254_A4327;948;Salmonella_enterica_serovar_Newport_SL254
B4SZZ0;rhaD;SNSL254_A4328;826;Salmonella_enterica_serovar_Newport_SL254
B4SZZ1;rhaA;SNSL254_A4329;1164;Salmonella_enterica_serovar_Newport_SL254
B4SZZ2;rhaB;SNSL254_A4330;2406;Salmonella_enterica_serovar_Newport_SL254
B4SZZ5;SNSL254_A4333;SNSL254_A4333;279;Salmonella_enterica_serovar_Newport_SL254
B4T000;SNSL254_A4338;SNSL254_A4338;1599;Salmonella_enterica_serovar_Newport_SL254
B4T001;SNSL254_A4339;SNSL254_A4339;2155;Salmonella_enterica_serovar_Newport_SL254
B4T003;sodA;SNSL254_A4341;3238;Salmonella_enterica_serovar_Newport_SL254
B4T049;pfkA;SNSL254_A4391;2718;Salmonella_enterica_serovar_Newport_SL254
B4T068;SNSL254_A0875;SNSL254_A0875;2964;Salmonella_enterica_serovar_Newport_SL254
B4T087;glnH;SNSL254_A0894;1136;Salmonella_enterica_serovar_Newport_SL254
B4T091;SNSL254_A0898;SNSL254_A0898;2436;Salmonella_enterica_serovar_Newport_SL254
B4T097;SNSL254_A0905;SNSL254_A0905;3111;Salmonella_enterica_serovar_Newport_SL254
B4T0A3;SNSL254_A0911;SNSL254_A0911;2703;Salmonella_enterica_serovar_Newport_SL254
B4T0A7;SNSL254_A0915;SNSL254_A0915;1064;Salmonella_enterica_serovar_Newport_SL254
B4T0A9;SNSL254_A0917;SNSL254_A0917;940;Salmonella_enterica_serovar_Newport_SL254
B4T0B0;SNSL254_A0918;SNSL254_A0918;1515;Salmonella_enterica_serovar_Newport_SL254
B4T0B9;SNSL254_A0928;SNSL254_A0928;3331;Salmonella_enterica_serovar_Newport_SL254
B4T0C4;SNSL254_A0935;SNSL254_A0935;1053;Salmonella_enterica_serovar_Newport_SL254
B4T0C6;SNSL254_A0937;SNSL254_A0937;1972;Salmonella_enterica_serovar_Newport_SL254
B4T0C7;SNSL254_A0938;SNSL254_A0938;2665;Salmonella_enterica_serovar_Newport_SL254
B4T0D3;grxA;SNSL254_A0945;3866;Salmonella_enterica_serovar_Newport_SL254
B4T0D5;nfsA;SNSL254_A0947;1411;Salmonella_enterica_serovar_Newport_SL254
B4T0D8;SNSL254_A0950;SNSL254_A0950;268;Salmonella_enterica_serovar_Newport_SL254
B4T0E0;potH;SNSL254_A0952;1774;Salmonella_enterica_serovar_Newport_SL254
B4T0E1;potI;SNSL254_A0953;3104;Salmonella_enterica_serovar_Newport_SL254
B4T0E6;artJ;SNSL254_A0959;1074;Salmonella_enterica_serovar_Newport_SL254
B4T0E7;artM;SNSL254_A0960;2555;Salmonella_enterica_serovar_Newport_SL254
B4T0E9;artI;SNSL254_A0962;3579;Salmonella_enterica_serovar_Newport_SL254
B4T0F6;ltaE;SNSL254_A0969;3712;Salmonella_enterica_serovar_Newport_SL254
B4T0F7;poxB;SNSL254_A0970;2147;Salmonella_enterica_serovar_Newport_SL254
B4T0H1;cysW;SNSL254_A2636;1302;Salmonella_enterica_serovar_Newport_SL254
B4T0H2;cysT;SNSL254_A2637;3802;Salmonella_enterica_serovar_Newport_SL254
B4T0H3;cysP;SNSL254_A2638;2781;Salmonella_enterica_serovar_Newport_SL254
B4T0I0;hemF;SNSL254_A2645;3160;Salmonella_enterica_serovar_Newport_SL254
B4T0I5;eutC;SNSL254_A2650;2957;Salmonella_enterica_serovar_Newport_SL254
B4T0I6;eutB;SNSL254_A2651;2614;Salmonella_enterica_serovar_Newport_SL254
B4T0I8;eutH;SNSL254_A2653;2982;Salmonella_enterica_serovar_Newport_SL254
B4T0J4;eutT;SNSL254_A2660;2101;Salmonella_enterica_serovar_Newport_SL254
B4T0K0;tal1;SNSL254_A2666;873;Salmonella_enterica_serovar_Newport_SL254
B4T0K1;tkt;SNSL254_A2667;3649;Salmonella_enterica_serovar_Newport_SL254
B4T0K4;SNSL254_A2670;SNSL254_A2670;997;Salmonella_enterica_serovar_Newport_SL254
B4T0L6;dapA;SNSL254_A2682;795;Salmonella_enterica_serovar_Newport_SL254
B4T0M6;uraA;SNSL254_A2692;974;Salmonella_enterica_serovar_Newport_SL254
B4T0M7;upp;SNSL254_A2693;1352;Salmonella_enterica_serovar_Newport_SL254
B4T0M9;purM;SNSL254_A2695;1483;Salmonella_enterica_serovar_Newport_SL254
B4T0N0;purN;SNSL254_A2696;3645;Salmonella_enterica_serovar_Newport_SL254
B4T0N7;guaA;SNSL254_A2703;447;Salmonella_enterica_serovar_Newport_SL254
B4T0P8;hisS;SNSL254_A2716;3945;Salmonella_enterica_serovar_Newport_SL254
B4T0P9;ispG;SNSL254_A2718;2055;Salmonella_enterica_serovar_Newport_SL254
B4T0Q2;ndk;SNSL254_A2721;2887;Salmonella_enterica_serovar_Newport_SL254
B4T0Q4;SNSL254_A2723;SNSL254_A2723;3624;Salmonella_enterica_serovar_Newport_SL254
B4T0Q6;SNSL254_A2725;SNSL254_A2725;3597;Salmonella_enterica_serovar_Newport_SL254
B4T0Q7;pbpC;SNSL254_A2726;3411;Salmonella_enterica_serovar_Newport_SL254
B4T0R5;SNSL254_A2735;SNSL254_A2735;2788;Salmonella_enterica_serovar_Newport_SL254
B4T0S2;iscS;SNSL254_A2742;3518;Salmonella_enterica_serovar_Newport_SL254
B4T0S6;SNSL254_A4409;SNSL254_A4409;601;Salmonella_enterica_serovar_Newport_SL254
B4T0T0;SNSL254_A4413;SNSL254_A4413;916;Salmonella_enterica_serovar_Newport_SL254
B4T0T1;glpX;SNSL254_A4414;462;Salmonella_enterica_serovar_Newport_SL254
B4T0T3;glpF;SNSL254_A4416;890;Salmonella_enterica_serovar_Newport_SL254
B4T0T7;menA;SNSL254_A4420;854;Salmonella_enterica_serovar_Newport_SL254
B4T0U8;metB;SNSL254_A4431;526;Salmonella_enterica_serovar_Newport_SL254
B4T0U9;metL;SNSL254_A4432;1149;Salmonella_enterica_serovar_Newport_SL254
B4T0V5;katG;SNSL254_A4438;1336;Salmonella_enterica_serovar_Newport_SL254
B4T0V7;gldA;SNSL254_A4440;2162;Salmonella_enterica_serovar_Newport_SL254
B4T0W2;pflD;SNSL254_A4445;4150;Salmonella_enterica_serovar_Newport_SL254
B4T0W3;SNSL254_A4446;SNSL254_A4446;3449;Salmonella_enterica_serovar_Newport_SL254
B4T0W8;argE;SNSL254_A4451;1685;Salmonella_enterica_serovar_Newport_SL254
B4T0W9;argC;SNSL254_A4452;1251;Salmonella_enterica_serovar_Newport_SL254
B4T0X0;argB;SNSL254_A4453;1874;Salmonella_enterica_serovar_Newport_SL254
B4T0X1;argH;SNSL254_A4454;938;Salmonella_enterica_serovar_Newport_SL254
B4T0X3;sthA;SNSL254_A4457;2533;Salmonella_enterica_serovar_Newport_SL254
B4T0X6;btuB;SNSL254_A4462;3964;Salmonella_enterica_serovar_Newport_SL254
B4T0X8;murB;SNSL254_A4470;2595;Salmonella_enterica_serovar_Newport_SL254
B4T0X9;SNSL254_A4471;SNSL254_A4471;1145;Salmonella_enterica_serovar_Newport_SL254
B4T0Y0;coaA;SNSL254_A4472;337;Salmonella_enterica_serovar_Newport_SL254
B4T0Y9;rpoB;SNSL254_A4486;2611;Salmonella_enterica_serovar_Newport_SL254
B4T0Z1;thiH;SNSL254_A4491;2016;Salmonella_enterica_serovar_Newport_SL254
B4T0Z2;thiG;SNSL254_A4492;1749;Salmonella_enterica_serovar_Newport_SL254
B4T0Z4;thiF;SNSL254_A4494;1509;Salmonella_enterica_serovar_Newport_SL254
B4T0Z5;thiE;SNSL254_A4495;307;Salmonella_enterica_serovar_Newport_SL254
B4T0Z6;thiC;SNSL254_A4496;1371;Salmonella_enterica_serovar_Newport_SL254
B4T0Z8;nudC;SNSL254_A4499;933;Salmonella_enterica_serovar_Newport_SL254
B4T0Z9;hemE;SNSL254_A4500;2897;Salmonella_enterica_serovar_Newport_SL254
B4T107;purD;SNSL254_A4508;1821;Salmonella_enterica_serovar_Newport_SL254
B4T108;purH;SNSL254_A4509;603;Salmonella_enterica_serovar_Newport_SL254
B4T112;aceA;SNSL254_A4520;1123;Salmonella_enterica_serovar_Newport_SL254
B4T122;trxB;SNSL254_A0991;3448;Salmonella_enterica_serovar_Newport_SL254
B4T129;SNSL254_A0998;SNSL254_A0998;3216;Salmonella_enterica_serovar_Newport_SL254
B4T130;dmsB_2;SNSL254_A0999;3610;Salmonella_enterica_serovar_Newport_SL254
B4T131;dmsC;SNSL254_A1000;1060;Salmonella_enterica_serovar_Newport_SL254
B4T134;pflA;SNSL254_A1003;517;Salmonella_enterica_serovar_Newport_SL254
B4T137;pflB2;SNSL254_A1006;2570;Salmonella_enterica_serovar_Newport_SL254
B4T141;serC;SNSL254_A1010;427;Salmonella_enterica_serovar_Newport_SL254
B4T142;aroA;SNSL254_A1011;1769;Salmonella_enterica_serovar_Newport_SL254
B4T144;cmk;SNSL254_A1013;2755;Salmonella_enterica_serovar_Newport_SL254
B4T152;kdsB;SNSL254_A1021;2396;Salmonella_enterica_serovar_Newport_SL254
B4T162;aspC;SNSL254_A1031;2397;Salmonella_enterica_serovar_Newport_SL254
B4T163;SNSL254_A1032;SNSL254_A1032;2449;Salmonella_enterica_serovar_Newport_SL254
B4T172;pncB;SNSL254_A1041;3279;Salmonella_enterica_serovar_Newport_SL254
B4T1C4;asrA;SNSL254_A2748;737;Salmonella_enterica_serovar_Newport_SL254
B4T1C5;asrB;SNSL254_A2749;1377;Salmonella_enterica_serovar_Newport_SL254
B4T1D0;SNSL254_A2754;SNSL254_A2754;1419;Salmonella_enterica_serovar_Newport_SL254
B4T1D1;glyA;SNSL254_A2755;2280;Salmonella_enterica_serovar_Newport_SL254
B4T1D5;cadB;SNSL254_A2759;1744;Salmonella_enterica_serovar_Newport_SL254
B4T1D6;SNSL254_A2760;SNSL254_A2760;429;Salmonella_enterica_serovar_Newport_SL254
B4T1E2;purL;SNSL254_A2768;1282;Salmonella_enterica_serovar_Newport_SL254
B4T1E8;murQ;SNSL254_A2774;1973;Salmonella_enterica_serovar_Newport_SL254
B4T1F0;panE;SNSL254_A2776;1442;Salmonella_enterica_serovar_Newport_SL254
B4T1F4;acpS;SNSL254_A2780;1197;Salmonella_enterica_serovar_Newport_SL254
B4T1M8;metH;SNSL254_A4526;2196;Salmonella_enterica_serovar_Newport_SL254
B4T1S1;malG;SNSL254_A4569;876;Salmonella_enterica_serovar_Newport_SL254
B4T1S2;malF;SNSL254_A4571;389;Salmonella_enterica_serovar_Newport_SL254
B4T1S4;malE;SNSL254_A4572;189;Salmonella_enterica_serovar_Newport_SL254
B4T1S8;ubiC;SNSL254_A4576;2806;Salmonella_enterica_serovar_Newport_SL254
B4T1S9;ubiA;SNSL254_A4577;1228;Salmonella_enterica_serovar_Newport_SL254
B4T1T0;SNSL254_A4578;SNSL254_A4578;1267;Salmonella_enterica_serovar_Newport_SL254
B4T1T1;dgkA;SNSL254_A4579;2393;Salmonella_enterica_serovar_Newport_SL254
B4T1U1;alr;SNSL254_A4590;1202;Salmonella_enterica_serovar_Newport_SL254
B4T1U3;tyrB;SNSL254_A4592;1188;Salmonella_enterica_serovar_Newport_SL254
B4T1U4;aphA;SNSL254_A4593;1278;Salmonella_enterica_serovar_Newport_SL254
B4T1W9;actP;SNSL254_A4619;242;Salmonella_enterica_serovar_Newport_SL254
B4T1X1;acsA;SNSL254_A4621;3305;Salmonella_enterica_serovar_Newport_SL254
B4T1X2;nrfA;SNSL254_A4622;3235;Salmonella_enterica_serovar_Newport_SL254
B4T1X3;nrfB;SNSL254_A4623;338;Salmonella_enterica_serovar_Newport_SL254
B4T1X4;nrfC;SNSL254_A4624;3282;Salmonella_enterica_serovar_Newport_SL254
B4T1Y7;pepN;SNSL254_A1098;3822;Salmonella_enterica_serovar_Newport_SL254
B4T1Z7;fabA;SNSL254_A1108;1132;Salmonella_enterica_serovar_Newport_SL254
B4T280;hpaC;SNSL254_A1193;1765;Salmonella_enterica_serovar_Newport_SL254
B4T281;hpaB;SNSL254_A1194;3543;Salmonella_enterica_serovar_Newport_SL254
B4T283;SNSL254_A1196;SNSL254_A1196;2590;Salmonella_enterica_serovar_Newport_SL254
B4T284;hpaE;SNSL254_A1197;1612;Salmonella_enterica_serovar_Newport_SL254
B4T288;SNSL254_A2857;SNSL254_A2857;2259;Salmonella_enterica_serovar_Newport_SL254
B4T289;grcA;SNSL254_A2858;3300;Salmonella_enterica_serovar_Newport_SL254
B4T292;SNSL254_A2861;SNSL254_A2861;2524;Salmonella_enterica_serovar_Newport_SL254
B4T295;pssA;SNSL254_A2864;1337;Salmonella_enterica_serovar_Newport_SL254
B4T297;SNSL254_A2866;SNSL254_A2866;2625;Salmonella_enterica_serovar_Newport_SL254
B4T2A5;pheA;SNSL254_A2880;3284;Salmonella_enterica_serovar_Newport_SL254
B4T2A7;tyrA;SNSL254_A2882;1553;Salmonella_enterica_serovar_Newport_SL254
B4T2A8;aroF;SNSL254_A2883;92;Salmonella_enterica_serovar_Newport_SL254
B4T2J1;SNSL254_A4636;SNSL254_A4636;384;Salmonella_enterica_serovar_Newport_SL254
B4T2J5;SNSL254_A4640;SNSL254_A4640;664;Salmonella_enterica_serovar_Newport_SL254
B4T2J7;adiA;SNSL254_A4642;309;Salmonella_enterica_serovar_Newport_SL254
B4T2J9;SNSL254_A4644;SNSL254_A4644;101;Salmonella_enterica_serovar_Newport_SL254
B4T2K0;SNSL254_A4645;SNSL254_A4645;1266;Salmonella_enterica_serovar_Newport_SL254
B4T2K1;fumB;SNSL254_A4646;4154;Salmonella_enterica_serovar_Newport_SL254
B4T2K2;dcuB;SNSL254_A4647;1810;Salmonella_enterica_serovar_Newport_SL254
B4T2K6;SNSL254_A4651;SNSL254_A4651;672;Salmonella_enterica_serovar_Newport_SL254
B4T2K7;dmsB;SNSL254_A4652;1025;Salmonella_enterica_serovar_Newport_SL254
B4T2K8;dmsC;SNSL254_A4653;2246;Salmonella_enterica_serovar_Newport_SL254
B4T2N4;dipZ;SNSL254_A4684;1334;Salmonella_enterica_serovar_Newport_SL254
B4T2N6;dcuA;SNSL254_A4686;210;Salmonella_enterica_serovar_Newport_SL254
B4T2P9;SNSL254_A4701;SNSL254_A4701;291;Salmonella_enterica_serovar_Newport_SL254
B4T2Q0;frdC;SNSL254_A4702;2646;Salmonella_enterica_serovar_Newport_SL254
B4T2Q1;frdB;SNSL254_A4703;2693;Salmonella_enterica_serovar_Newport_SL254
B4T2Q2;frdA;SNSL254_A4704;1770;Salmonella_enterica_serovar_Newport_SL254
B4T2Q3;SNSL254_A4705;SNSL254_A4705;4168;Salmonella_enterica_serovar_Newport_SL254
B4T2Q7;psd;SNSL254_A4709;721;Salmonella_enterica_serovar_Newport_SL254
B4T2R4;SNSL254_A4719;SNSL254_A4719;3680;Salmonella_enterica_serovar_Newport_SL254
B4T2T6;hpaD;SNSL254_A1198;4239;Salmonella_enterica_serovar_Newport_SL254
B4T2T7;hpcD;SNSL254_A1199;294;Salmonella_enterica_serovar_Newport_SL254
B4T2T8;hpaH;SNSL254_A1200;740;Salmonella_enterica_serovar_Newport_SL254
B4T2T9;hpaI;SNSL254_A1201;3223;Salmonella_enterica_serovar_Newport_SL254
B4T2U0;hpaX;SNSL254_A1202;850;Salmonella_enterica_serovar_Newport_SL254
B4T2V0;SNSL254_A1212;SNSL254_A1212;4307;Salmonella_enterica_serovar_Newport_SL254
B4T2V7;putP;SNSL254_A1220;604;Salmonella_enterica_serovar_Newport_SL254
B4T2W0;SNSL254_A1224;SNSL254_A1224;2322;Salmonella_enterica_serovar_Newport_SL254
B4T2W4;SNSL254_A1228;SNSL254_A1228;1491;Salmonella_enterica_serovar_Newport_SL254
B4T2W6;SNSL254_A1230;SNSL254_A1230;2605;Salmonella_enterica_serovar_Newport_SL254
B4T2Y6;SNSL254_A1251;SNSL254_A1251;2226;Salmonella_enterica_serovar_Newport_SL254
B4T2Z5;pyrC;SNSL254_A1260;2342;Salmonella_enterica_serovar_Newport_SL254
B4T2Z7;grxB;SNSL254_A1262;1200;Salmonella_enterica_serovar_Newport_SL254
B4T324;plsX;SNSL254_A1290;2365;Salmonella_enterica_serovar_Newport_SL254
B4T325;fabH;SNSL254_A1292;38;Salmonella_enterica_serovar_Newport_SL254
B4T326;fabD;SNSL254_A1293;2177;Salmonella_enterica_serovar_Newport_SL254
B4T327;fabG;SNSL254_A1294;41;Salmonella_enterica_serovar_Newport_SL254
B4T328;acpP;SNSL254_A1295;883;Salmonella_enterica_serovar_Newport_SL254
B4T329;fabF;SNSL254_A1296;1982;Salmonella_enterica_serovar_Newport_SL254
B4T330;pabC;SNSL254_A1297;2825;Salmonella_enterica_serovar_Newport_SL254
B4T335;ptsG;SNSL254_A1302;3800;Salmonella_enterica_serovar_Newport_SL254
B4T336;SNSL254_A1303;SNSL254_A1303;2056;Salmonella_enterica_serovar_Newport_SL254
B4T340;thiK;SNSL254_A1307;3425;Salmonella_enterica_serovar_Newport_SL254
B4T344;SNSL254_A2968;SNSL254_A2968;1359;Salmonella_enterica_serovar_Newport_SL254
B4T346;SNSL254_A2970;SNSL254_A2970;1892;Salmonella_enterica_serovar_Newport_SL254
B4T347;SNSL254_A2971;SNSL254_A2971;855;Salmonella_enterica_serovar_Newport_SL254
B4T348;SNSL254_A2972;SNSL254_A2972;2617;Salmonella_enterica_serovar_Newport_SL254
B4T357;SNSL254_A2982;SNSL254_A2982;1236;Salmonella_enterica_serovar_Newport_SL254
B4T358;SNSL254_A2983;SNSL254_A2983;882;Salmonella_enterica_serovar_Newport_SL254
B4T363;gabD;SNSL254_A2988;1142;Salmonella_enterica_serovar_Newport_SL254
B4T364;gabT;SNSL254_A2989;3385;Salmonella_enterica_serovar_Newport_SL254
B4T365;gabP;SNSL254_A2990;1997;Salmonella_enterica_serovar_Newport_SL254
B4T382;SNSL254_A3007;SNSL254_A3007;8;Salmonella_enterica_serovar_Newport_SL254
B4T383;nrdF;SNSL254_A3008;4212;Salmonella_enterica_serovar_Newport_SL254
B4T385;SNSL254_A3010;SNSL254_A3010;554;Salmonella_enterica_serovar_Newport_SL254
B4T386;proX;SNSL254_A3011;2042;Salmonella_enterica_serovar_Newport_SL254
B4T3A2;mltB;SNSL254_A3033;3509;Salmonella_enterica_serovar_Newport_SL254
B4T3A3;SNSL254_A3034;SNSL254_A3034;2181;Salmonella_enterica_serovar_Newport_SL254
B4T3A5;SNSL254_A3036;SNSL254_A3036;36;Salmonella_enterica_serovar_Newport_SL254
B4T3A6;srlD;SNSL254_A3037;3705;Salmonella_enterica_serovar_Newport_SL254
B4T3B1;norV;SNSL254_A3042;3488;Salmonella_enterica_serovar_Newport_SL254
B4T3B9;hycG;SNSL254_A3050;602;Salmonella_enterica_serovar_Newport_SL254
B4T3C0;hycF;SNSL254_A3051;1226;Salmonella_enterica_serovar_Newport_SL254
B4T3C1;hycE;SNSL254_A3052;126;Salmonella_enterica_serovar_Newport_SL254
B4T3C2;hycD;SNSL254_A3053;376;Salmonella_enterica_serovar_Newport_SL254
B4T3C3;hycC;SNSL254_A3054;2222;Salmonella_enterica_serovar_Newport_SL254
B4T3C4;hycB;SNSL254_A3055;4039;Salmonella_enterica_serovar_Newport_SL254
B4T3D5;SNSL254_A3066;SNSL254_A3066;20;Salmonella_enterica_serovar_Newport_SL254
B4T3D7;SNSL254_A3068;SNSL254_A3068;4117;Salmonella_enterica_serovar_Newport_SL254
B4T3E3;SNSL254_A4743;SNSL254_A4743;2974;Salmonella_enterica_serovar_Newport_SL254
B4T3E5;ulaB;SNSL254_A4745;1894;Salmonella_enterica_serovar_Newport_SL254
B4T3E6;ulaC;SNSL254_A4746;2898;Salmonella_enterica_serovar_Newport_SL254
B4T3E7;ulaD;SNSL254_A4747;2584;Salmonella_enterica_serovar_Newport_SL254
B4T3E8;ulaE;SNSL254_A4748;1663;Salmonella_enterica_serovar_Newport_SL254
B4T3E9;sgaE;SNSL254_A4749;3474;Salmonella_enterica_serovar_Newport_SL254
B4T3F9;SNSL254_A4759;SNSL254_A4759;2061;Salmonella_enterica_serovar_Newport_SL254
B4T3H1;msrA;SNSL254_A4772;1157;Salmonella_enterica_serovar_Newport_SL254
B4T3I0;mpl;SNSL254_A4781;839;Salmonella_enterica_serovar_Newport_SL254
B4T3J0;SNSL254_A4791;SNSL254_A4791;124;Salmonella_enterica_serovar_Newport_SL254
B4T3J6;nrdG;SNSL254_A4797;1285;Salmonella_enterica_serovar_Newport_SL254
B4T3J7;nrdD;SNSL254_A4798;3575;Salmonella_enterica_serovar_Newport_SL254
B4T3J9;treC;SNSL254_A4800;1791;Salmonella_enterica_serovar_Newport_SL254
B4T3K3;mgtA;SNSL254_A4804;86;Salmonella_enterica_serovar_Newport_SL254
B4T3K5;pyrI;SNSL254_A4806;3339;Salmonella_enterica_serovar_Newport_SL254
B4T3K6;pyrB;SNSL254_A4807;1522;Salmonella_enterica_serovar_Newport_SL254
B4T3L0;argF;SNSL254_A4811;1734;Salmonella_enterica_serovar_Newport_SL254
B4T3L3;arcA;SNSL254_A4814;1550;Salmonella_enterica_serovar_Newport_SL254
B4T3L6;argF;SNSL254_A4817;1395;Salmonella_enterica_serovar_Newport_SL254
B4T3M4;pepA;SNSL254_A4826;2835;Salmonella_enterica_serovar_Newport_SL254
B4T3M8;SNSL254_A4830;SNSL254_A4830;457;Salmonella_enterica_serovar_Newport_SL254
B4T3M9;SNSL254_A4831;SNSL254_A4831;82;Salmonella_enterica_serovar_Newport_SL254
B4T3N0;SNSL254_A4832;SNSL254_A4832;3590;Salmonella_enterica_serovar_Newport_SL254
B4T3N1;idnK;SNSL254_A4833;33;Salmonella_enterica_serovar_Newport_SL254
B4T3P6;nagZ;SNSL254_A1308;2661;Salmonella_enterica_serovar_Newport_SL254
B4T3Q2;SNSL254_A1314;SNSL254_A1314;2278;Salmonella_enterica_serovar_Newport_SL254
B4T3Q8;nagK;SNSL254_A1320;3390;Salmonella_enterica_serovar_Newport_SL254
B4T3Q9;SNSL254_A1321;SNSL254_A1321;2636;Salmonella_enterica_serovar_Newport_SL254
B4T3R1;potC;SNSL254_A1323;2871;Salmonella_enterica_serovar_Newport_SL254
B4T3R4;potB;SNSL254_A1326;636;Salmonella_enterica_serovar_Newport_SL254
B4T3S1;purB;SNSL254_A1333;486;Salmonella_enterica_serovar_Newport_SL254
B4T3S4;SNSL254_A1336;SNSL254_A1336;477;Salmonella_enterica_serovar_Newport_SL254
B4T3S7;icd;SNSL254_A1339;158;Salmonella_enterica_serovar_Newport_SL254
B4T3U4;SNSL254_A1361;SNSL254_A1361;3880;Salmonella_enterica_serovar_Newport_SL254
B4T3U5;SNSL254_A1362;SNSL254_A1362;2122;Salmonella_enterica_serovar_Newport_SL254
B4T3V5;SNSL254_A1374;SNSL254_A1374;96;Salmonella_enterica_serovar_Newport_SL254
B4T3X8;SNSL254_A1399;SNSL254_A1399;2946;Salmonella_enterica_serovar_Newport_SL254
B4T3Y1;msrB;SNSL254_A1402;3580;Salmonella_enterica_serovar_Newport_SL254
B4T3Y4;ansA;SNSL254_A1405;1399;Salmonella_enterica_serovar_Newport_SL254
B4T3Z4;SNSL254_A1415;SNSL254_A1415;1408;Salmonella_enterica_serovar_Newport_SL254
B4T3Z6;astD;SNSL254_A1417;136;Salmonella_enterica_serovar_Newport_SL254
B4T3Z7;astB;SNSL254_A1418;3622;Salmonella_enterica_serovar_Newport_SL254
B4T442;SNSL254_A3120;SNSL254_A3120;1567;Salmonella_enterica_serovar_Newport_SL254
B4T443;SNSL254_A3121;SNSL254_A3121;1357;Salmonella_enterica_serovar_Newport_SL254
B4T448;kpdB;SNSL254_A3126;2461;Salmonella_enterica_serovar_Newport_SL254
B4T456;ispF;SNSL254_A3135;1947;Salmonella_enterica_serovar_Newport_SL254
B4T457;ispD;SNSL254_A3136;2538;Salmonella_enterica_serovar_Newport_SL254
B4T460;cysC;SNSL254_A3139;2794;Salmonella_enterica_serovar_Newport_SL254
B4T461;cysN;SNSL254_A3140;2921;Salmonella_enterica_serovar_Newport_SL254
B4T473;cysH;SNSL254_A3157;240;Salmonella_enterica_serovar_Newport_SL254
B4T474;cysI;SNSL254_A3158;1899;Salmonella_enterica_serovar_Newport_SL254
B4T475;cysJ;SNSL254_A3159;548;Salmonella_enterica_serovar_Newport_SL254
B4T477;SNSL254_A3160;SNSL254_A3160;4167;Salmonella_enterica_serovar_Newport_SL254
B4T482;SNSL254_A3167;SNSL254_A3167;1692;Salmonella_enterica_serovar_Newport_SL254
B4T483;eno;SNSL254_A3168;1620;Salmonella_enterica_serovar_Newport_SL254
B4T485;mazG;SNSL254_A3170;3476;Salmonella_enterica_serovar_Newport_SL254
B4T493;relA;SNSL254_A3178;3081;Salmonella_enterica_serovar_Newport_SL254
B4T496;SNSL254_A3181;SNSL254_A3181;774;Salmonella_enterica_serovar_Newport_SL254
B4T497;SNSL254_A3182;SNSL254_A3182;1146;Salmonella_enterica_serovar_Newport_SL254
B4T498;SNSL254_A3183;SNSL254_A3183;2678;Salmonella_enterica_serovar_Newport_SL254
B4T499;gudP;SNSL254_A3184;1474;Salmonella_enterica_serovar_Newport_SL254
B4T4B5;SNSL254_A4865;SNSL254_A4865;812;Salmonella_enterica_serovar_Newport_SL254
B4T4G2;yjjG;SNSL254_A4915;215;Salmonella_enterica_serovar_Newport_SL254
B4T4H0;deoC;SNSL254_A4923;1845;Salmonella_enterica_serovar_Newport_SL254
B4T4H1;deoA;SNSL254_A4924;2201;Salmonella_enterica_serovar_Newport_SL254
B4T4H2;deoB;SNSL254_A4925;1641;Salmonella_enterica_serovar_Newport_SL254
B4T4H3;deoD;SNSL254_A4926;234;Salmonella_enterica_serovar_Newport_SL254
B4T4I2;serB;SNSL254_A4936;1850;Salmonella_enterica_serovar_Newport_SL254
B4T4I4;SNSL254_A4938;SNSL254_A4938;3454;Salmonella_enterica_serovar_Newport_SL254
B4T4I6;SNSL254_A4940;SNSL254_A4940;590;Salmonella_enterica_serovar_Newport_SL254
B4T4I8;SNSL254_A4942;SNSL254_A4942;889;Salmonella_enterica_serovar_Newport_SL254
B4T4I9;SNSL254_A4943;SNSL254_A4943;3281;Salmonella_enterica_serovar_Newport_SL254
B4T4K3;astE;SNSL254_A1419;3506;Salmonella_enterica_serovar_Newport_SL254
B4T4K7;nadE;SNSL254_A1424;1983;Salmonella_enterica_serovar_Newport_SL254
B4T4L1;chbC;SNSL254_A1427;3317;Salmonella_enterica_serovar_Newport_SL254
B4T4L6;katE;SNSL254_A1432;464;Salmonella_enterica_serovar_Newport_SL254
