Entry	Gene names  (ordered locus )	Gene names  (primary )	Organism	Organism ID
B5RDR9	SG2849	cysH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDS0	SG2850	cysI	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDS1	SG2851	cysJ	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDS2	SG2852	ptpS	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDS4	SG2855	ygcF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDS5	SG2856	eno	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDS7	SG2858	mazG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDU1	SG2873	gudP	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDU8	SG2880	sdaC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDU9	SG2881	sdaB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDV1	SG2883	fucO	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDV2	SG2884	fucA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDV3	SG2885		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDV5	SG2887	fucK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDW6	SG2898	mltA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDX7	SG2909	thyA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDX8	SG2910	lgt	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDY5	SG2918	lplT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDY6	SG2919	aas	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDY9	SG2922	lysA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RDZ2	SG2925	araE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE00	SG2934	idi	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE01	SG2935	lysS	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE04	SG2938	dsbC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE06	SG2940	fldB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE14	SG2948	gcvP	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE15	SG2949	gcvH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE16	SG2950	gcvT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE18	SG2952	ubiH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE24	SG2958	rpiA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE37	SG2971	tktA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE39	SG2973	speB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE55	SG2989	gshB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE63	SG2997	yggV	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE64	SG2998	yggW	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE66	SG3000	ansB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE73	SG3007	nupG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE81	SG3016		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE93	SG3028		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE94	SG3029	uxuA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE95	SG3030		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RE96	SG3031	uxaC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REA6	SG3043	hybC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REA9	SG3046	hypO	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REB7	SG3055	exbD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REC0	SG3058	metC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REC4	SG3062	yqhE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REC9	SG3067		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RED0	SG3068	ygiK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RED2	SG3070	plsC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REE5	SG3083	tolC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REE9	SG3087	zupT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REF3	SG3091	ribB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REF8	SG3096	hldE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REG3	SG3101	bacA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REG5	SG3103	plsY	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REH5	SG3114	patA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REJ7	SG3138	tdcE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REJ8	SG3139	tdcD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REJ9	SG3140	tdcC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REK0	SG3141	tdcB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REK2	SG3143	garK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REK3	SG3144	garR	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REK4	SG3145	garL	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REK5	SG3146	garD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REK6	SG3147	gatY	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REK7	SG3148	gatZ	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REK8	SG3149		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REK9	SG3150		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REL0	SG3151		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REL1	SG3152		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REM9	SG3170	mtr	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REN2	SG3173	pnp	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REN9	SG3180	argG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REP2	SG3184	glmM	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REP3	SG3185	folP	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REP8	SG3190	dacB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REQ3	SG3195	ispB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REQ5	SG3197	murA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RER4	SG3206	yrbI	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RES8	SG3220	gltB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RET1	SG3223		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RET2	SG3224		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RET4	SG3226	nanK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RET5	SG3227	nanE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RET6	SG3228	nanT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RET7	SG3229	nanA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REU9	SG0057 SG3241	oadB3	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REV3	SG3245		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REV4	SG3246		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REX7	SG3270	accB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REX8	SG3271	accC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REY0	SG3273	panF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REY8	SG3281	acrE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REZ2	SG3286	btuB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REZ6	SG3290	sthA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REZ8	SG0002	thrA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5REZ9	SG0003	thrB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF00	SG0004	thrC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF32	SG0038		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF45	SG3292	argH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF46	SG3293	argB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF47	SG3294	argC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF48	SG3295	argE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF53	SG3302	pflC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF54	SG3303	pflD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF59	SG3308	gldA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF61	SG3310	katG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF70	SG3319	metL	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF71	SG3320	metB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF81	SG3330	menA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF84	SG3333	glpF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF86	SG3335	glpX	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF87	SG3336	fpr	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RF91	SG3340		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFA7	SG3357	cdh	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFA9	SG3359	pfkA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFB6	SG3366	sodA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFB8	SG3368		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFB9	SG3369		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFC1	SG3371	rhaT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFC4	SG3374	rhaB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFC5	SG3375	rhaA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFC6	SG3376	rhaD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFD5	SG3387	fdoG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFD6	SG3388	fdoH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFD7	SG3389	fdoI	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFE1	SG3393		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFF4	SG3406	yihQ	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFF7	SG3409	yshA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFG1	SG3413		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFG8	SG3420	hemN	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFH3	SG3425	dsbA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFH8	SG3430	purH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFH9	SG3431	purD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFI7	SG3439	hemE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFI8	SG3440	nudC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFJ0	SG3442	thiC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFJ1	SG3443	thiE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFJ2	SG3444	thiF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFJ4	SG3446	thiG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFJ5	SG3447	thiH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFK1	SG3454	rpoB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFK9	SG3462	coaA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFL0	SG3463	birA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFL1	SG3464	murB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFL2	SG3465	hemG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFL6	SG3469	fadB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFL7	SG3470	fadA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFL9	SG3472	ubiB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFM0	SG3473	yigC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFM6	SG3479	ubiB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFM8	SG3481	ubiE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFN0	SG3483	udp	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFN3	SG3486	metE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFN7	SG3490	pldB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFP1	SG3494	pldA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFP9	SG3502	dapF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFQ4	SG3509	hemC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFQ5	SG3510	hemD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFQ9	SG3514	wecG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFR0	SG3515	wzyE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFR1	SG3516	wecF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFR2	SG3517	wzxE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFR3	SG3518	wecE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFR4	SG3519	wecD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFR6	SG3521	rffG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFR7	SG3522	wecC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFR8	SG3523	wecB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFR9	SG3524	wzzE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFS0	SG3525	rfe	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFS2	SG3527	trxA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFS8	SG3533	ilvC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFT3	SG3538	ilvD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFT4	SG3539	ilvE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFT6	SG3541	ilvG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFU3	SG3548	rbsK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFU4	SG3549	rbsB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFU5	SG3550	rbsC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFU8	SG3553	kup	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFV7	SG3562	atpB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFV8	SG3563	atpE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFV9	SG3564	atpF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFW0	SG3565	atpH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFW1	SG3566	atpA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFW2	SG3567	atpG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFW3	SG3568	atpD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFW4	SG3569	atpC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFW6	SG3571	glmU	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFW7	SG3572	glmS	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFW9	SG3574		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFX2	SG3578	pstC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFX3	SG3579	pstA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFZ6	SG3602	dgoK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFZ8	SG3604	dgoD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RFZ9	SG3605	dgoT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG03	SG3610	torC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG04	SG3611	torA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG23	SG3630	dsdA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG30	SG3638	ilvB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG31	SG3639	ilvN	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG33	SG3641		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG34	SG3642		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG39	SG3648	uhpT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG56	SG3666	mgtB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG68	SG3685	yicE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG73	SG3690	rpoZ	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG74	SG3691	gmk	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG84	SG0052	ispH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG86	SG0054	rihC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG94	SG0063	citD2	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG95	SG0064	citE2	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG96	SG0065	citF2	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RG99	SG0068	dapB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGA0	SG0069	carA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGA1	SG0070	carB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGA4	SG0073	caiD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGA5	SG0075	caiB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGA7	SG0077	caiT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGB6	SG0086		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGB8	SG0088	kefC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGB9	SG0089	folA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGC3	SG0093	pdxA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGD2	SG0102	araD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGD3	SG0103	araA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGD4	SG0104	araB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGD9	SG0109	tbpA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGE1	SG0112	leuD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGE2	SG0113	leuC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGE3	SG0114	leuB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGE4	SG0115	leuA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGE8	SG3701	dfp	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGF3	SG3706	coaD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGF4	SG3707	kdtA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGF5	SG3708	rfaQ	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGF7	SG3710	rfaP	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGF9	SG3712	rfaB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGG0	SG3713	rfaI	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGG1	SG3714	rfaJ	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGG2	SG3715	waaY	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGG4	SG3717	rfaK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGG5	SG3718	rfaL	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGG6	SG3719	rfaC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGG7	SG3720	rfaF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGG8	SG3721	hldD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGH4	SG3727	pmgI	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGH6	SG3729	grxC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGH9	SG3732	cysE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGI0	SG3733		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGI1	SG3734		Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGJ1	SG3744	mtlD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGJ2	SG3745	mtlA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGJ4	SG3747	selA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGK0	SG3753	sgbE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGK1	SG3754	sgbU	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGK2	SG3755	sgbH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGK5	SG3759	yiaN	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGK6	SG3760	yiaM	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGL2	SG3766	avtA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGL7	SG3772	xylB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGM2	SG3777	glyS	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGN1	SG3787	ghrB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGN3	SG3789	bisC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGQ9	SG3819	bcsZ	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGR2	SG3822	dctA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGR4	SG3824	kdgK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGS3	SG3834	treF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGS9	SG3840	gor	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGV9	SG3870	livJ	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGW2	SG3873	livK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGW3	SG3874	livH	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGW9	SG3880	ugpB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGX0	SG3881	ugpA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGX3	SG3884	ugpQ	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGY4	SG3895	gntK	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGY6	SG3897	asd	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGY7	SG3970	pabA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGY8	SG3971	argD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RGZ2	SG3975	prkB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH46	SG4029	trkA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH48	SG4031	fmt	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH58	SG0123	ftsI	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH59	SG0124	murE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH60	SG0125	murF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH61	SG0126	mraY	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH62	SG0127	murD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH64	SG0129	murG	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH65	SG0130	murC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH70	SG0135	lpxC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH73	SG0138	mutT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH78	SG0142	yacE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH83	SG0147	nadC	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH84	SG0148	ampD	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH88	SG0152	aroP	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH90	SG0154	aceE	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH91	SG0155	aceF	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH92	SG0156	lpdA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RH96	SG0160	acnB	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RHA0	SG0164	kdgT	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
B5RHA2	SG0166	pdxA	Salmonella gallinarum (strain 287/91 / NCTC 13346)	550538
